iter	Passed	Remaining
0	155	155413
1	156	78326
2	160	53309
3	161	40235
4	162	32339
5	163	27060
6	164	23319
7	165	20484
8	165	18273
9	166	16499
10	167	15047
11	168	13839
12	169	12837
13	169	11965
14	170	11204
15	171	10540
16	172	9954
17	172	9430
18	173	8958
19	174	8536
20	174	8154
21	175	7807
22	179	7622
23	180	7335
24	181	7067
25	182	6818
26	182	6586
27	183	6368
28	184	6165
29	184	5976
30	185	5799
31	186	5633
32	187	5481
33	187	5337
34	188	5199
35	189	5068
36	189	4944
37	190	4827
38	191	4716
39	192	4616
40	193	4515
41	193	4420
42	196	4379
43	197	4293
44	198	4208
45	199	4127
46	199	4050
47	200	3975
48	201	3903
49	201	3835
50	202	3769
51	203	3705
52	204	3647
53	205	3593
54	205	3536
55	206	3484
56	207	3432
57	208	3380
58	208	3330
59	209	3282
60	210	3235
61	210	3190
62	211	3146
63	212	3104
64	214	3084
65	215	3050
66	218	3036
67	218	2999
68	219	2963
69	220	2932
70	221	2902
71	222	2871
72	223	2841
73	224	2812
74	225	2782
75	226	2754
76	227	2724
77	227	2694
78	228	2665
79	229	2637
80	230	2609
81	230	2583
82	231	2554
83	236	2578
84	237	2557
85	238	2535
86	239	2511
87	240	2490
88	241	2467
89	241	2444
90	242	2423
91	243	2402
92	244	2380
93	244	2359
94	245	2338
95	246	2317
96	246	2298
97	247	2281
98	249	2268
99	250	2250
100	252	2248
101	253	2232
102	254	2214
103	254	2196
104	255	2179
105	256	2162
106	257	2145
107	257	2129
108	258	2113
109	259	2097
110	259	2082
111	260	2066
112	261	2051
113	262	2036
114	263	2024
115	263	2010
116	264	1995
117	265	1981
118	265	1967
119	266	1954
120	267	1940
121	267	1926
122	268	1913
123	271	1915
124	272	1909
125	273	1897
126	274	1884
127	274	1873
128	276	1863
129	278	1866
130	279	1854
131	280	1843
132	280	1831
133	281	1820
134	282	1809
135	283	1798
136	283	1787
137	284	1776
138	285	1766
139	286	1756
140	286	1746
141	287	1735
142	292	1753
143	293	1744
144	294	1736
145	295	1727
146	296	1718
147	296	1709
148	297	1699
149	298	1690
150	298	1680
151	299	1671
152	300	1662
153	300	1653
154	301	1644
155	302	1635
156	303	1627
157	303	1619
158	304	1611
159	306	1606
160	307	1604
161	308	1597
162	309	1590
163	311	1585
164	312	1579
165	312	1571
166	313	1564
167	314	1557
168	315	1550
169	315	1542
170	316	1535
171	317	1527
172	318	1520
173	319	1515
174	319	1507
175	320	1501
176	321	1494
177	322	1487
178	322	1480
179	323	1473
180	324	1466
181	326	1467
182	328	1464
183	329	1463
184	330	1457
185	331	1451
186	332	1445
187	333	1440
188	334	1433
189	334	1428
190	335	1421
191	336	1415
192	337	1410
193	338	1404
194	338	1398
195	339	1392
196	340	1386
197	340	1380
198	341	1374
199	342	1368
200	342	1363
201	344	1362
202	345	1357
203	346	1352
204	348	1350
205	349	1345
206	349	1340
207	350	1334
208	351	1329
209	352	1324
210	352	1318
211	353	1313
212	354	1308
213	354	1303
214	355	1297
215	356	1292
216	356	1287
217	357	1282
218	358	1277
219	359	1272
220	359	1268
221	360	1263
222	361	1259
223	366	1268
224	366	1263
225	367	1259
226	368	1255
227	369	1250
228	369	1245
229	370	1240
230	371	1236
231	372	1231
232	372	1227
233	373	1222
234	374	1218
235	375	1214
236	376	1211
237	377	1208
238	378	1205
239	379	1202
240	385	1214
241	386	1212
242	387	1208
243	389	1205
244	390	1202
245	391	1200
246	393	1199
247	395	1197
248	396	1195
249	397	1191
250	398	1188
251	399	1185
252	401	1185
253	402	1182
254	404	1180
255	405	1177
256	406	1174
257	407	1173
258	409	1172
259	410	1169
260	411	1165
261	412	1161
262	412	1157
263	413	1153
264	414	1148
265	414	1144
266	415	1141
267	416	1136
268	416	1132
269	422	1141
270	423	1140
